from,to,relationship
UL,500,guest
LK,500,guest
NR,500,guest
SW,500,guest
CS,500,guest
CL,501,guest
NR,501,guest
KS,501,guest
LM,501,guest
KD,501,guest
EL,501,guest
AB,502,guest
FT,502,guest
AM,502,guest
AGL,502,guest
ER,502,guest
UL,CDU,membership
LK,SPD,membership
NR,CDU,membership
SW,Linke,membership
CL,FDP,membership
AB,Grüne,membership
AGL,FDP,membership
